rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
부산,국4등급,1400,rBOX6,40,80000,116640.0,19,1.458,0.458,20231201,20251221
부산,국4등급,1600,A4,33,19800,31500.0,6,1.5909090909090908,0.5909090909090909,20231201,20251221
부산,국4등급,1600,A5,33,33000,47600.0,10,1.4424242424242424,0.44242424242424244,20231201,20251221
부산,국4등급,1600,A6,33,49500,71230.0,13,1.438989898989899,0.438989898989899,20231201,20251221
부산,국4등급,1600,rBOX4,33,13200,25460.0,5,1.9287878787878787,0.9287878787878788,20231201,20251221
부산,국4등급,1600,rBOX5,33,33000,47000.0,9,1.4242424242424243,0.42424242424242425,20231201,20251221
부산,국4등급,1600,rBOX6,33,66000,65160.0,14,0.9872727272727273,-0.012727272727272728,20231201,20251221
부산,국4등급,1800,A4,46,27600,41190.0,11,1.492391304347826,0.4923913043478261,20231201,20251221
부산,국4등급,1800,A5,46,46000,82920.0,17,1.8026086956521739,0.802608695652174,20231201,20251221
부산,국4등급,1800,A6,46,69000,88370.0,20,1.2807246376811594,0.2807246376811594,20231201,20251221
부산,국4등급,1800,rBOX4,46,18400,68840.0,11,3.741304347826087,2.741304347826087,20231201,20251221
부산,국4등급,1800,rBOX5,46,46000,86890.0,15,1.8889130434782608,0.8889130434782608,20231201,20251221
부산,국4등급,1800,rBOX6,46,92000,154080.0,22,1.674782608695652,0.6747826086956522,20231201,20251221
부산,국5등급,1200,A4,102,61200,81930.0,31,1.3387254901960783,0.33872549019607845,20231201,20251221
부산,국5등급,1200,A5,102,102000,106410.0,39,1.043235294117647,0.04323529411764706,20231201,20251221
부산,국5등급,1200,A6,102,153000,205640.0,45,1.3440522875816994,0.34405228758169937,20231201,20251221
부산,국5등급,1200,rBOX4,102,40800,53710.0,21,1.316421568627451,0.31642156862745097,20231201,20251221
부산,국5등급,1200,rBOX5,102,102000,93500.0,34,0.9166666666666666,-0.08333333333333333,20231201,20251221
부산,국5등급,1200,rBOX6,102,204000,167070.0,51,0.8189705882352941,-0.18102941176470588,20231201,20251221
부산,국5등급,1300,A4,86,51600,28210.0,14,0.5467054263565891,-0.45329457364341086,20231201,20251221
부산,국5등급,1300,A5,86,86000,98900.0,25,1.15,0.15,20231201,20251221
부산,국5등급,1300,A6,86,129000,131720.0,28,1.0210852713178296,0.021085271317829456,20231201,20251221
부산,국5등급,1300,rBOX4,86,34400,26770.0,14,0.7781976744186047,-0.22180232558139534,20231201,20251221
부산,국5등급,1300,rBOX5,86,86000,64000.0,22,0.7441860465116279,-0.2558139534883721,20231201,20251221
부산,국5등급,1300,rBOX6,86,172000,172440.0,42,1.0025581395348837,0.0025581395348837207,20231201,20251221
부산,국5등급,1400,A4,104,62400,83880.0,27,1.3442307692307693,0.34423076923076923,20231201,20251221
부산,국5등급,1400,A5,104,104000,173930.0,39,1.6724038461538462,0.6724038461538462,20231201,20251221
부산,국5등급,1400,A6,104,156000,199690.0,47,1.2800641025641026,0.2800641025641026,20231201,20251221
부산,국5등급,1400,rBOX4,104,41600,138520.0,23,3.3298076923076922,2.3298076923076922,20231201,20251221
부산,국5등급,1400,rBOX5,104,104000,187880.0,35,1.8065384615384616,0.8065384615384615,20231201,20251221
부산,국5등급,1400,rBOX6,104,208000,308350.0,52,1.482451923076923,0.4824519230769231,20231201,20251221
부산,국5등급,1600,A4,56,33600,38820.0,16,1.1553571428571427,0.15535714285714286,20231201,20251221
부산,국5등급,1600,A5,56,56000,51480.0,21,0.9192857142857143,-0.08071428571428571,20231201,20251221
부산,국5등급,1600,A6,56,84000,71170.0,23,0.8472619047619048,-0.15273809523809523,20231201,20251221
