년월,경마장,경주일,경주번호,등급,경주거리,출주두수,신마수,삼복승식배당율,실제_top3_마번,m_BOX4_picks,m_BOX6_picks,p_BOX4_picks,p_BOX6_picks,m_BOX4_hit,m_BOX6_hit,p_BOX4_hit,p_BOX6_hit,m_BOX4_bet,m_BOX6_bet,p_BOX4_bet,p_BOX6_bet,m_BOX4_refund,m_BOX6_refund,p_BOX4_refund,p_BOX6_refund,bet_unit
202312,부산,20231229,8,국4등급,1200.0,11,0,44.6,"1,2,7","11,7,5,2","11,7,5,2,10,4","11,7,5,10","11,7,5,10,2,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231229,9,혼3등급,1200.0,10,1,6.2,"1,6,7","1,7,8,6","1,7,8,6,2,9","1,8,7,2","1,8,7,2,6,9",1,1,0,1,400,2000,400,2000,620.0,620.0,0.0,620.0,100
202312,부산,20231231,3,국5등급,1200.0,11,0,17.5,"1,5,10","10,1,9,5","10,1,9,5,8,4","10,1,9,5","10,1,9,5,8,11",1,1,1,1,400,2000,400,2000,1750.0,1750.0,1750.0,1750.0,100
202312,부산,20231231,4,국5등급,1400.0,11,0,52.2,"1,8,9","6,8,1,2","6,8,1,2,9,3","6,8,1,2","6,8,1,2,9,3",0,1,0,1,400,2000,400,2000,0.0,5220.0,0.0,5220.0,100
202312,부산,20231231,5,혼4등급,1600.0,11,0,12.9,"2,3,6","3,6,11,9","3,6,11,9,7,2","3,6,11,9","3,6,11,9,4,2",0,1,0,1,400,2000,400,2000,0.0,1290.0,0.0,1290.0,100
202312,부산,20231231,6,2등급,2000.0,11,0,49.5,"4,6,10","10,3,8,6","10,3,8,6,2,9","8,3,10,11","8,3,10,11,9,6",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240105,2,국6등급,1200.0,11,0,31.9,"4,6,8","10,4,3,6","10,4,3,6,11,8","10,4,6,11","10,4,6,11,8,3",0,1,0,1,400,2000,400,2000,0.0,3190.0,0.0,3190.0,100
202401,부산,20240105,3,국6등급,1300.0,11,0,11.3,"2,6,8","6,8,2,7","6,8,2,7,3,9","8,6,10,2","8,6,10,2,7,9",1,1,1,1,400,2000,400,2000,1130.0,1130.0,1130.0,1130.0,100
202401,부산,20240105,4,국5등급,1300.0,11,0,46.6,"4,6,9","11,4,7,6","11,4,7,6,5,8","4,10,11,7","4,10,11,7,6,2",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240105,5,국5등급,1400.0,11,0,38.5,"2,4,5","5,2,4,1","5,2,4,1,11,7","5,1,3,7","5,1,3,7,6,2",1,1,0,0,400,2000,400,2000,3850.0,3850.0,0.0,0.0,100
202401,부산,20240105,6,국5등급,1600.0,11,0,125.3,"3,5,6","1,3,6,11","1,3,6,11,4,8","5,2,6,4","5,2,6,4,10,11",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240105,7,혼4등급,1600.0,11,0,68.6,"1,4,10","10,9,8,4","10,9,8,4,11,1","10,8,5,1","10,8,5,1,2,11",0,1,0,0,400,2000,400,2000,0.0,6859.999999999999,0.0,0.0,100
202401,부산,20240105,8,2등급,1400.0,11,0,101.2,"2,4,10","4,1,2,3","4,1,2,3,9,10","4,11,10,2","4,11,10,2,1,5",0,1,1,1,400,2000,400,2000,0.0,10120.0,10120.0,10120.0,100
202401,부산,20240107,1,국6등급,1400.0,11,1,73.8,"2,5,6","8,11,1,3","8,11,1,3,2,6","11,2,8,5","11,2,8,5,6,7",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,7380.0,100
202401,부산,20240107,2,국6등급,1300.0,11,0,14.7,"7,9,10","9,10,7,1","9,10,7,1,5,11","9,10,8,7","9,10,8,7,11,1",1,1,1,1,400,2000,400,2000,1470.0,1470.0,1470.0,1470.0,100
202401,부산,20240107,3,혼4등급,1600.0,11,0,50.9,"1,6,9","9,4,1,6","9,4,1,6,2,10","9,1,2,8","9,1,2,8,10,6",1,1,0,1,400,2000,400,2000,5090.0,5090.0,0.0,5090.0,100
202401,부산,20240107,4,혼4등급,1200.0,11,0,128.5,"5,6,9","4,8,9,3","4,8,9,3,5,10","8,4,5,9","8,4,5,9,3,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240107,5,국4등급,1400.0,11,0,66.9,"2,3,4","6,9,10,3","6,9,10,3,7,11","9,6,4,10","9,6,4,10,3,11",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240107,6,혼3등급,1800.0,11,0,150.9,"4,8,10","6,9,4,7","6,9,4,7,10,2","6,4,2,10","6,4,2,10,5,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240112,2,국6등급,1300.0,11,1,106.4,"6,8,10","10,5,7,9","10,5,7,9,8,4","10,5,6,8","10,5,6,8,4,3",0,0,1,1,400,2000,400,2000,0.0,0.0,10640.0,10640.0,100
202401,부산,20240112,3,국6등급,1400.0,11,0,22.3,"3,4,5","10,5,8,6","10,5,8,6,4,7","5,10,8,4","5,10,8,4,3,7",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,2230.0,100
202401,부산,20240112,5,국5등급,1200.0,10,0,263.5,"3,7,9","6,10,3,8","6,10,3,8,9,7","6,10,9,3","6,10,9,3,5,4",0,1,0,0,400,2000,400,2000,0.0,26350.0,0.0,0.0,100
202401,부산,20240112,6,국5등급,1300.0,8,0,105.8,"3,4,7","1,7,5,8","1,7,5,8,3,6","1,3,6,7","1,3,6,7,2,5",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240112,7,국5등급,1800.0,10,0,36.3,"5,6,7","1,9,2,10","1,9,2,10,7,6","1,5,9,2","1,5,9,2,6,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240112,8,혼3등급,1200.0,11,0,121.2,"1,2,5","5,3,2,4","5,3,2,4,6,7","5,9,6,3","5,9,6,3,7,11",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240114,2,국6등급,1600.0,11,1,163.2,"2,4,10","6,3,10,8","6,3,10,8,1,5","6,3,1,10","6,3,1,10,11,8",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240114,3,국5등급,1400.0,8,0,19.1,"2,3,7","5,7,6,4","5,7,6,4,3,8","7,5,6,2","7,5,6,2,4,3",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1910.0000000000002,100
202401,부산,20240114,4,국5등급,1400.0,8,0,26.7,"1,2,7","1,5,4,8","1,5,4,8,2,6","7,1,6,5","7,1,6,5,3,8",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240114,5,국5등급,1300.0,8,0,38.9,"2,4,5","1,2,8,4","1,2,8,4,3,5","1,2,5,8","1,2,5,8,4,3",0,1,0,1,400,2000,400,2000,0.0,3890.0,0.0,3890.0,100
202401,부산,20240114,6,국4등급,1200.0,11,0,93.5,"2,4,10","2,8,7,4","2,8,7,4,10,5","2,6,7,8","2,6,7,8,4,10",0,1,0,1,400,2000,400,2000,0.0,9350.0,0.0,9350.0,100
202401,부산,20240114,7,혼4등급,1800.0,11,0,138.8,"2,5,6","6,1,7,2","6,1,7,2,3,4","1,6,4,2","1,6,4,2,5,3",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,13880.000000000002,100
202401,부산,20240114,8,1등급,1200.0,11,0,1020.8,"2,7,10","1,7,6,4","1,7,6,4,8,10","11,8,1,5","11,8,1,5,2,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240119,2,국6등급,1300.0,11,1,20.4,"3,5,11","9,11,5,2","9,11,5,2,6,10","11,9,6,2","11,9,6,2,5,8",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240119,3,국6등급,1400.0,11,1,30.7,"4,6,8","10,3,6,8","10,3,6,8,4,11","10,4,3,11","10,4,3,11,6,8",0,1,0,1,400,2000,400,2000,0.0,3070.0,0.0,3070.0,100
202401,부산,20240119,4,국5등급,1200.0,11,0,150.0,"2,4,8","10,7,3,8","10,7,3,8,9,4","7,9,10,4","7,9,10,4,3,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
