경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20231229,202312,8,국4등급,1200.0,11,0,SETTLED,"1,2,7","11,7,5,2","11,7,5,10","11,7,5,2,10,4","11,7,5,10,2,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231229,202312,9,혼3등급,1200.0,10,1,SETTLED,"1,6,7","1,7,8,6","1,8,7,2","1,7,8,6,2,9","1,8,7,2,6,9",3,1,620.0,400,0,0.0,400,1,620.0,2000,1,620.0,2000
부산,20231231,202312,3,국5등급,1200.0,11,0,SETTLED,"1,5,10","10,1,9,5","10,1,9,5","10,1,9,5,8,4","10,1,9,5,8,11",4,1,1750.0,400,1,1750.0,400,1,1750.0,2000,1,1750.0,2000
부산,20231231,202312,4,국5등급,1400.0,11,0,SETTLED,"1,8,9","6,8,1,2","6,8,1,2","6,8,1,2,9,3","6,8,1,2,9,3",4,0,0.0,400,0,0.0,400,1,5220.0,2000,1,5220.0,2000
부산,20231231,202312,5,혼4등급,1600.0,11,0,SETTLED,"2,3,6","3,6,11,9","3,6,11,9","3,6,11,9,7,2","3,6,11,9,4,2",4,0,0.0,400,0,0.0,400,1,1290.0,2000,1,1290.0,2000
부산,20231231,202312,6,2등급,2000.0,11,0,SETTLED,"4,6,10","10,3,8,6","8,3,10,11","10,3,8,6,2,9","8,3,10,11,9,6",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240105,202401,2,국6등급,1200.0,11,0,SETTLED,"4,6,8","10,4,3,6","10,4,6,11","10,4,3,6,11,8","10,4,6,11,8,3",3,0,0.0,400,0,0.0,400,1,3190.0,2000,1,3190.0,2000
부산,20240105,202401,3,국6등급,1300.0,11,0,SETTLED,"2,6,8","6,8,2,7","8,6,10,2","6,8,2,7,3,9","8,6,10,2,7,9",3,1,1130.0,400,1,1130.0,400,1,1130.0,2000,1,1130.0,2000
부산,20240105,202401,4,국5등급,1300.0,11,0,SETTLED,"4,6,9","11,4,7,6","4,10,11,7","11,4,7,6,5,8","4,10,11,7,6,2",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240105,202401,5,국5등급,1400.0,11,0,SETTLED,"2,4,5","5,2,4,1","5,1,3,7","5,2,4,1,11,7","5,1,3,7,6,2",2,1,3850.0,400,0,0.0,400,1,3850.0,2000,0,0.0,2000
부산,20240105,202401,6,국5등급,1600.0,11,0,SETTLED,"3,5,6","1,3,6,11","5,2,6,4","1,3,6,11,4,8","5,2,6,4,10,11",1,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240105,202401,7,혼4등급,1600.0,11,0,SETTLED,"1,4,10","10,9,8,4","10,8,5,1","10,9,8,4,11,1","10,8,5,1,2,11",2,0,0.0,400,0,0.0,400,1,6859.999999999999,2000,0,0.0,2000
