전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1착(4) / 2착(3) / 3착(5~6) 삼쌍,4,3,5~6,2,1837,1837,14,0.007621121393576484,367400.0,1478100.0,1110700.0,4.023135547087643,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250620 5R (1, 2, 7) @425.0 | 부산 20250622 4R (4, 1, 2) @90.0"
"1착(1,4) / 2착(3) / 3착(5) 삼쌍","1,4",3,5,2,1837,1837,25,0.013609145345672292,367400.0,1459800.0,1092400.0,3.973326075122482,"부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250404 6R (4, 11, 3) @112.0 | 부산 20250620 5R (1, 2, 7) @425.0"
"1착(6,8) / 2착(1) / 3착(3) 삼쌍","6,8",1,3,2,1837,1837,7,0.003810560696788242,367400.0,1450300.0,1082900.0,3.947468698965705,"부산 20250817 1R (4, 2, 1) @47.0 | 부산 20251130 6R (12, 10, 9) @2648.0 | 서울 20250427 7R (6, 8, 4) @155.0"
1착(8) / 2착(4) / 3착(7) 삼쌍,8,4,7,1,1837,1837,1,0.0005443658138268917,183700.0,722400.0,538700.0,3.9324986390854653,"부산 20250706 4R (4, 10, 3) @7224.0"
1착(1~3) / 2착(7) / 3착(5) 삼쌍,1~3,7,5,3,1837,1837,12,0.0065323897659227,551100.0,2166300.0,1615200.0,3.9308655416439846,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250620 1R (4, 5, 1) @207.0 | 부산 20250810 7R (4, 3, 6) @1578.0"
"1착(3,7~8) / 2착(4) / 3착(6) 삼쌍","3,7~8",4,6,3,1837,1837,3,0.001633097441480675,551100.0,2136800.0,1585700.0,3.8773362366176736,"부산 20250824 6R (11, 3, 7) @212.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20250921 11R (10, 7, 8) @3256.0"
"1착(4,6,8) / 2착(1) / 3착(3) 삼쌍","4,6,8",1,3,3,1837,1837,19,0.010342950462710943,551100.0,2123000.0,1571900.0,3.852295409181637,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250711 5R (1, 5, 7) @153.0"
"1착(3) / 2착(7) / 3착(1,4~5) 삼쌍",3,7,"1,4~5",3,1837,1837,9,0.004899292324442025,551100.0,2116900.0,1565800.0,3.8412266376338233,"부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0 | 부산 20260111 1R (1, 4, 9) @250.0"
"1착(7) / 2착(4) / 3착(1,6,8) 삼쌍",7,4,"1,6,8",3,1837,1837,5,0.0027218290691344584,551100.0,2104300.0,1553200.0,3.8183632734530937,"부산 20251002 8R (5, 3, 6) @943.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20250510 1R (8, 7, 3) @206.0"
"1착(3) / 2착(7) / 3착(2,4~5) 삼쌍",3,7,"2,4~5",3,1837,1837,9,0.004899292324442025,551100.0,2103700.0,1552600.0,3.81727454182544,"부산 20250516 2R (3, 6, 8) @563.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251102 4R (2, 9, 3) @368.0"
