전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1,8) / 2착(3,6~7) / 3착(2,4) 삼쌍","1,8","3,6~7","2,4",12,1837,1837,73,0.03973870440936309,2204400.0,1738400.0,-466000.0,0.7886046089638904,"부산 20250103 6R (5, 8, 6) @2746.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0"
"1착(1,4,6) / 2착(2,7) / 3착(3,8) 삼쌍","1,4,6","2,7","3,8",12,1837,1837,70,0.03810560696788242,2204400.0,1735900.0,-468500.0,0.7874705135184177,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,5) / 2착(2,4,8) / 3착(3,6) 삼쌍","1,5","2,4,8","3,6",12,1837,1837,86,0.046815459989112684,2204400.0,1732300.0,-472100.0,0.785837416076937,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(2) / 2착(1,4,6,8) / 3착(3,5,7) 삼쌍",2,"1,4,6,8","3,5,7",12,1837,1837,83,0.045182362547632006,2204400.0,1722000.0,-482400.0,0.7811649428415895,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250124 6R (10, 8, 3) @88.0 | 부산 20250321 6R (12, 8, 7) @1089.0"
"1착(1,7) / 2착(3,8) / 3착(2,5~6) 삼쌍","1,7","3,8","2,5~6",12,1837,1837,71,0.038649972781709306,2204400.0,1721100.0,-483300.0,0.7807566684812194,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250117 8R (7, 12, 4) @135.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1,3) / 2착(2,5) / 3착(4,6,8) 삼쌍","1,3","2,5","4,6,8",12,1837,1837,79,0.04300489929232444,2204400.0,1718800.0,-485600.0,0.7797133006713846,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250207 5R (2, 6, 1) @38.0"
"1착(1,5) / 2착(3~4,6) / 3착(2,7) 삼쌍","1,5","3~4,6","2,7",12,1837,1837,70,0.03810560696788242,2204400.0,1699500.0,-504900.0,0.7709580838323353,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(2,7) / 2착(1,4) / 3착(3,5,8) 삼쌍","2,7","1,4","3,5,8",12,1837,1837,78,0.04246053347849755,2204400.0,1695000.0,-509400.0,0.7689167120304845,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250223 4R (9, 3, 2) @73.0"
"1착(1~2) / 2착(4,8) / 3착(3,5~6) 삼쌍",1~2,"4,8","3,5~6",12,1837,1837,82,0.04463799673380512,2204400.0,1691500.0,-512900.0,0.7673289784068227,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250117 8R (7, 12, 4) @135.0"
"1착(1,6) / 2착(2,4) / 3착(3,7~8) 삼쌍","1,6","2,4","3,7~8",12,1837,1837,84,0.0457267283614589,2204400.0,1685600.0,-518800.0,0.7646525131555072,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,3) / 2착(2,5,7) / 3착(4,6) 삼쌍","1,3","2,5,7","4,6",12,1837,1837,75,0.04082743603701688,2204400.0,1684000.0,-520400.0,0.7639266920704046,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250221 7R (6, 1, 4) @627.0"
"1착(2) / 2착(3~4,6) / 3착(1,5,7~8) 삼쌍",2,"3~4,6","1,5,7~8",12,1837,1837,70,0.03810560696788242,2204400.0,1681100.0,-523300.0,0.7626111413536564,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250124 6R (10, 8, 3) @88.0 | 부산 20250321 6R (12, 8, 7) @1089.0"
"1착(2) / 2착(1,3,6) / 3착(4~5,7~8) 삼쌍",2,"1,3,6","4~5,7~8",12,1837,1837,74,0.040283070223189985,2204400.0,1679400.0,-525000.0,0.7618399564507349,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250105 6R (4, 1, 5) @14.0 | 부산 20250207 4R (11, 4, 2) @61.0"
